NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	Details ...	74	0.5319227	2.4109063	0.0	0.0	0.0	4152	tags=62%, list=27%, signal=85%	
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Details ...	61	0.5338811	2.3109972	0.0	2.810321E-4	0.001	5256	tags=67%, list=34%, signal=102%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Details ...	43	0.5633829	2.28067	0.0	3.7341198E-4	0.002	4335	tags=60%, list=28%, signal=84%	
WP_ELECTRON_TRANSPORT_CHAIN	WP_ELECTRON_TRANSPORT_CHAIN	Details ...	91	0.46962342	2.2461376	0.0	8.599462E-4	0.006	3590	tags=41%, list=23%, signal=53%	
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Details ...	55	0.5060764	2.1260183	0.0	0.0066251582	0.056	4335	tags=58%, list=28%, signal=81%	
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Details ...	49	0.5154619	2.121341	0.0	0.0063825473	0.064	4799	tags=55%, list=31%, signal=80%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Details ...	63	0.4786504	2.0922337	0.0	0.0077116787	0.09	3577	tags=43%, list=23%, signal=56%	
WP_OXIDATIVE_PHOSPHORYLATION	WP_OXIDATIVE_PHOSPHORYLATION	Details ...	53	0.4647936	2.003584	0.0	0.022818618	0.265	3527	tags=40%, list=23%, signal=51%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	57	0.47022513	1.9990147	0.0	0.021700306	0.282	4335	tags=54%, list=28%, signal=75%	
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Details ...	65	0.4373425	1.9262556	0.0	0.049389776	0.572	4335	tags=46%, list=28%, signal=64%	
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	132	0.37618345	1.9005713	0.0	0.061670247	0.68	3590	tags=34%, list=23%, signal=44%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	70	0.4136664	1.8779787	0.0	0.069762975	0.765	4360	tags=47%, list=28%, signal=65%	
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	Details ...	20	0.5588129	1.8443379	0.004494382	0.09154469	0.865	3574	tags=55%, list=23%, signal=72%	
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	Details ...	62	0.41551843	1.8406987	0.0	0.0881308	0.878	4152	tags=48%, list=27%, signal=66%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE	Details ...	112	0.36775798	1.8134227	0.0	0.10723034	0.936	5287	tags=53%, list=34%, signal=80%	
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	Details ...	82	0.38215083	1.7728037	0.0	0.15143113	0.986	5507	tags=54%, list=36%, signal=83%	
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	Details ...	79	0.37177214	1.7465557	0.0023310024	0.18117538	0.995	5507	tags=53%, list=36%, signal=82%	
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	Details ...	70	0.38420382	1.7452831	0.0023255814	0.1726937	0.995	4152	tags=50%, list=27%, signal=68%	
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	Details ...	47	0.42357913	1.7408035	0.0023364485	0.16925098	0.996	4445	tags=47%, list=29%, signal=66%	
REACTOME_METALLOPROTEASE_DUBS	REACTOME_METALLOPROTEASE_DUBS	Details ...	35	0.45007464	1.7098259	0.01146789	0.21091844	1.0	4312	tags=46%, list=28%, signal=63%	
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	Details ...	153	0.33127448	1.7053555	0.0	0.20886534	1.0	4152	tags=42%, list=27%, signal=58%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE	Details ...	85	0.36671135	1.6993529	0.0024390244	0.21001984	1.0	3936	tags=40%, list=26%, signal=53%	
REACTOME_RNA_POLYMERASE_II_PROMOTER_ESCAPE	REACTOME_RNA_POLYMERASE_II_PROMOTER_ESCAPE	Details ...	44	0.41441974	1.6991804	0.00456621	0.20128827	1.0	2700	tags=36%, list=18%, signal=44%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES	Details ...	56	0.4037449	1.6940681	0.004716981	0.20066549	1.0	4442	tags=54%, list=29%, signal=75%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR	Details ...	77	0.36492357	1.6732426	0.004854369	0.22723056	1.0	4417	tags=43%, list=29%, signal=60%	
REACTOME_LYSINE_CATABOLISM	REACTOME_LYSINE_CATABOLISM	Details ...	9	0.6297255	1.6304184	0.042643923	0.30310565	1.0	2366	tags=56%, list=15%, signal=66%	
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	Details ...	54	0.38361654	1.6238537	0.014563107	0.30622983	1.0	4335	tags=46%, list=28%, signal=64%	
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	Details ...	226	0.29584572	1.612266	0.0	0.32076955	1.0	3590	tags=31%, list=23%, signal=40%	
REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION	Details ...	11	0.5744791	1.6106396	0.042128604	0.31317052	1.0	6566	tags=100%, list=43%, signal=174%	
REACTOME_HDMS_DEMETHYLATE_HISTONES	REACTOME_HDMS_DEMETHYLATE_HISTONES	Details ...	37	0.409175	1.6023915	0.011876484	0.32151955	1.0	3256	tags=43%, list=21%, signal=55%	
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	Details ...	194	0.30037162	1.6019677	0.0027100272	0.31209332	1.0	4823	tags=42%, list=31%, signal=61%	
REACTOME_PROTEIN_UBIQUITINATION	REACTOME_PROTEIN_UBIQUITINATION	Details ...	67	0.35343418	1.5905565	0.0023809525	0.32815853	1.0	4482	tags=48%, list=29%, signal=67%	
REACTOME_COMPLEX_IV_ASSEMBLY	REACTOME_COMPLEX_IV_ASSEMBLY	Details ...	39	0.403097	1.586617	0.02173913	0.32671562	1.0	4034	tags=36%, list=26%, signal=48%	
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	Details ...	55	0.3717941	1.5719059	0.012135922	0.3500067	1.0	3936	tags=45%, list=26%, signal=61%	
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	REACTOME_PROLACTIN_RECEPTOR_SIGNALING	Details ...	7	0.64224315	1.5641026	0.044444446	0.35791856	1.0	3623	tags=57%, list=23%, signal=75%	
REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_ESR_MEDIATED_SIGNALING	Details ...	122	0.30995694	1.5634985	0.0025773195	0.34932566	1.0	3256	tags=34%, list=21%, signal=42%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	261	0.2705674	1.5048187	0.0	0.49525884	1.0	5092	tags=44%, list=33%, signal=65%	
REACTOME_STRIATED_MUSCLE_CONTRACTION	REACTOME_STRIATED_MUSCLE_CONTRACTION	Details ...	17	0.4597265	1.4457537	0.072115384	0.6849985	1.0	4292	tags=47%, list=28%, signal=65%	
REACTOME_CAM_PDE_1_ACTIVATION	REACTOME_CAM_PDE_1_ACTIVATION	Details ...	5	0.660385	1.419415	0.1199187	0.77076185	1.0	4809	tags=60%, list=31%, signal=87%	
REACTOME_SIGNALING_BY_BMP	REACTOME_SIGNALING_BY_BMP	Details ...	17	0.44245693	1.4181637	0.082474224	0.75724024	1.0	3727	tags=59%, list=24%, signal=77%	
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	Details ...	13	0.485913	1.4157066	0.10412148	0.74879503	1.0	6745	tags=92%, list=44%, signal=164%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	Details ...	61	0.3220114	1.3964716	0.046189375	0.81155103	1.0	5426	tags=56%, list=35%, signal=86%	
REACTOME_CELLULAR_SENESCENCE	REACTOME_CELLULAR_SENESCENCE	Details ...	130	0.27229846	1.3694279	0.01909308	0.9110076	1.0	4374	tags=38%, list=28%, signal=53%	
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	Details ...	10	0.50420874	1.3690372	0.116630666	0.8919645	1.0	5354	tags=70%, list=35%, signal=107%	
REACTOME_MITOTIC_PROPHASE	REACTOME_MITOTIC_PROPHASE	Details ...	111	0.27527127	1.3575248	0.035264485	0.9243944	1.0	4508	tags=43%, list=29%, signal=61%	
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	Details ...	20	0.40883976	1.3556061	0.11633109	0.9130144	1.0	3814	tags=50%, list=25%, signal=66%	
REACTOME_MITOCHONDRIAL_BIOGENESIS	REACTOME_MITOCHONDRIAL_BIOGENESIS	Details ...	31	0.3600114	1.3441215	0.114832535	0.9458779	1.0	3574	tags=42%, list=23%, signal=54%	
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	Details ...	8	0.52850735	1.307789	0.18380743	1.0	1.0	4052	tags=63%, list=26%, signal=85%	
BIOCARTA_TERC_PATHWAY	BIOCARTA_TERC_PATHWAY	Details ...	6	0.5926209	1.3072556	0.19409283	1.0	1.0	2672	tags=67%, list=17%, signal=81%	
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK	REACTOME_TRANSLESION_SYNTHESIS_BY_POLK	Details ...	18	0.40886867	1.3032043	0.132287	1.0	1.0	3814	tags=44%, list=25%, signal=59%	
BIOCARTA_MCM_PATHWAY	BIOCARTA_MCM_PATHWAY		12	0.46264198	1.2970113	0.16344085	1.0	1.0	4052	tags=50%, list=26%, signal=68%	
REACTOME_COMPLEX_III_ASSEMBLY	REACTOME_COMPLEX_III_ASSEMBLY		17	0.4045621	1.2904928	0.15434782	1.0	1.0	3497	tags=35%, list=23%, signal=46%	
WP_MRNA_PROCESSING	WP_MRNA_PROCESSING		404	0.21828392	1.283594	0.012738854	1.0	1.0	5010	tags=41%, list=32%, signal=59%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE		65	0.28929746	1.2802689	0.10120482	1.0	1.0	5380	tags=51%, list=35%, signal=78%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS		269	0.22434993	1.2644382	0.021212121	1.0	1.0	5287	tags=41%, list=34%, signal=61%	
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES		8	0.5068249	1.2636362	0.18318966	1.0	1.0	4040	tags=50%, list=26%, signal=68%	
WP_MITOCHONDRIAL_GENE_EXPRESSION	WP_MITOCHONDRIAL_GENE_EXPRESSION		19	0.38580534	1.2533959	0.16666667	1.0	1.0	2280	tags=32%, list=15%, signal=37%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1		164	0.23522177	1.2330106	0.065714285	1.0	1.0	4335	tags=35%, list=28%, signal=48%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION		88	0.26193115	1.2322468	0.09319899	1.0	1.0	5839	tags=47%, list=38%, signal=75%	
BIOCARTA_CDC42RAC_PATHWAY	BIOCARTA_CDC42RAC_PATHWAY		6	0.5546873	1.226114	0.21129707	1.0	1.0	2970	tags=50%, list=19%, signal=62%	
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA		14	0.4048462	1.2239302	0.20666666	1.0	1.0	5352	tags=57%, list=35%, signal=87%	
REACTOME_HOMOLOGY_DIRECTED_REPAIR	REACTOME_HOMOLOGY_DIRECTED_REPAIR		122	0.24869926	1.2231975	0.12113402	1.0	1.0	5507	tags=43%, list=36%, signal=66%	
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A		27	0.33539867	1.213922	0.19823788	1.0	1.0	3713	tags=33%, list=24%, signal=44%	
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS		24	0.34813696	1.213758	0.19399539	1.0	1.0	2264	tags=25%, list=15%, signal=29%	
REACTOME_DUAL_INCISION_IN_TC_NER	REACTOME_DUAL_INCISION_IN_TC_NER		62	0.27163804	1.2127393	0.1438849	1.0	1.0	4711	tags=40%, list=31%, signal=58%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS		151	0.23771001	1.2107687	0.10481586	1.0	1.0	4335	tags=31%, list=28%, signal=43%	
REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES		56	0.28634346	1.2081679	0.16933638	1.0	1.0	4344	tags=43%, list=28%, signal=59%	
REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES	REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES		31	0.32018778	1.2078928	0.20261438	1.0	1.0	4783	tags=55%, list=31%, signal=79%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION		227	0.22032337	1.2060617	0.08356546	1.0	1.0	4724	tags=34%, list=31%, signal=48%	
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS	REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS		156	0.23370598	1.2040042	0.10966057	1.0	1.0	3256	tags=28%, list=21%, signal=35%	
WP_ESTROGEN_SIGNALING	WP_ESTROGEN_SIGNALING		70	0.26057744	1.1944451	0.15662651	1.0	1.0	4941	tags=44%, list=32%, signal=65%	
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS	REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS		76	0.25855288	1.1886843	0.15594059	1.0	1.0	4098	tags=37%, list=27%, signal=50%	
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING		9	0.46130157	1.1827147	0.25221238	1.0	1.0	3054	tags=33%, list=20%, signal=42%	
REACTOME_RHOBTB1_GTPASE_CYCLE	REACTOME_RHOBTB1_GTPASE_CYCLE		22	0.34486872	1.1762722	0.19739696	1.0	1.0	4616	tags=50%, list=30%, signal=71%	
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES	REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES		72	0.2584591	1.172349	0.18227848	1.0	1.0	2525	tags=25%, list=16%, signal=30%	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST		7	0.4952455	1.1716611	0.26548672	1.0	1.0	3201	tags=29%, list=21%, signal=36%	
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	REACTOME_RHO_GTPASES_ACTIVATE_ROCKS		5	0.55439395	1.1694236	0.30327868	1.0	1.0	2386	tags=60%, list=15%, signal=71%	
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE		15	0.3800863	1.1663195	0.255079	1.0	1.0	4987	tags=47%, list=32%, signal=69%	
REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	REACTOME_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL		177	0.21826184	1.1658348	0.13715711	1.0	1.0	4950	tags=38%, list=32%, signal=55%	
BIOCARTA_PRC2_PATHWAY	BIOCARTA_PRC2_PATHWAY		10	0.43720832	1.165736	0.25208333	1.0	1.0	4915	tags=60%, list=32%, signal=88%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION		119	0.24014696	1.162669	0.14021164	1.0	1.0	4820	tags=36%, list=31%, signal=52%	
